,number,value,datetime_start,datetime_complete,duration,params_d_model,params_dff,params_dropout_rate,params_num_heads,params_num_layers,state
56,56,0.81085813,45400.84337,45400.84386,0 days 00:00:41.828540,128,512,0.413997131,5,1,COMPLETE
57,57,0.805166364,45400.84386,45400.84433,0 days 00:00:40.645753,128,512,0.410805115,5,1,COMPLETE
58,58,0.792469323,45400.84433,45400.84525,0 days 00:01:19.476122,128,512,0.359403594,1,3,COMPLETE
59,59,0.798598945,45400.84525,45400.84574,0 days 00:00:42.643957,128,512,0.397853916,6,1,COMPLETE
60,60,0.798598945,45400.84574,45400.84622,0 days 00:00:41.021695,128,512,0.333997911,4,1,COMPLETE
61,61,0.802977204,45400.84622,45400.84673,0 days 00:00:44.078646,128,512,0.449064886,5,1,COMPLETE
62,62,0.807793319,45400.84673,45400.84721,0 days 00:00:41.591924,128,256,0.481315126,5,1,COMPLETE
63,63,0.809982479,45400.84721,45400.84772,0 days 00:00:44.306212,128,512,0.437317706,6,1,COMPLETE
64,64,0.802539408,45400.84772,45400.84824,0 days 00:00:45.060283,128,512,0.433983868,6,1,COMPLETE
65,65,0.805166364,45400.84824,45400.84875,0 days 00:00:43.530199,128,512,0.415090441,7,1,COMPLETE
66,66,0.803852916,45400.84875,45400.84949,0 days 00:01:04.569534,512,512,0.39220374,6,1,COMPLETE
67,67,0.801225901,45400.84949,45400.84995,0 days 00:00:39.202601,128,512,0.374618326,6,1,COMPLETE
68,68,0.81304729,45400.84995,45400.85046,0 days 00:00:44.449824,128,1024,0.459213149,3,1,COMPLETE
69,69,0.795534134,45400.85046,45400.85118,0 days 00:01:02.253161,256,1024,0.457077494,2,2,COMPLETE
70,70,0.806042016,45400.85118,45400.8517,0 days 00:00:44.997600,128,1024,0.475364594,3,1,COMPLETE
71,71,0.814798594,45400.8517,45400.85225,0 days 00:00:46.938721,128,1024,0.444810757,3,1,COMPLETE
72,72,0.803852916,45400.85225,45400.85278,0 days 00:00:46.134573,128,1024,0.446212417,3,1,COMPLETE
73,73,0.805604219,45400.85278,45400.85331,0 days 00:00:45.814656,128,1024,0.461560805,3,1,COMPLETE
74,74,0.805166364,45400.85331,45400.85384,0 days 00:00:46.018616,128,1024,0.44017233,2,1,COMPLETE
75,75,0.808231175,45400.85384,45400.85439,0 days 00:00:47.377967,128,1024,0.490045117,4,1,COMPLETE
76,76,0.812171638,45400.85439,45400.8549,0 days 00:00:43.867225,128,1024,0.450620228,3,1,COMPLETE
77,77,0.802977204,45400.8549,45400.85556,0 days 00:00:56.767854,512,1024,0.4741311,3,1,COMPLETE
78,78,0.809982479,45400.85556,45400.85607,0 days 00:00:43.860522,128,1024,0.455491488,3,1,COMPLETE
79,79,0.809982479,45400.85607,45400.85662,0 days 00:00:47.482230,128,1024,0.467449696,4,1,COMPLETE
80,80,0.812609434,45400.85662,45400.8573,0 days 00:00:58.903929,128,1024,0.418752662,2,2,COMPLETE
81,81,0.796409786,45400.8573,45400.85792,0 days 00:00:53.768275,128,1024,0.413240114,2,2,COMPLETE
82,82,0.807793319,45400.85792,45400.85888,0 days 00:01:23.269151,128,1024,0.423366034,2,3,COMPLETE
83,83,0.809544683,45400.85888,45400.85943,0 days 00:00:46.961790,128,1024,0.452472384,1,1,COMPLETE
84,84,0.802539408,45400.85943,45400.86016,0 days 00:01:03.650112,128,1024,0.489456916,3,2,COMPLETE
85,85,0.802101552,45400.86016,45400.86066,0 days 00:00:42.949632,128,1024,0.467705657,4,1,COMPLETE
86,86,0.802977204,45400.86066,45400.86124,0 days 00:00:49.714833,256,1024,0.432940993,2,1,COMPLETE
87,87,0.808231175,45400.86124,45400.86173,0 days 00:00:42.896604,128,1024,0.370779122,3,1,COMPLETE
88,88,0.805604219,45400.86173,45400.86228,0 days 00:00:47.573742,128,1024,0.404259095,3,1,COMPLETE
89,89,0.788091063,45400.86228,45400.86315,0 days 00:01:14.461596,128,1024,0.446890085,4,3,COMPLETE
90,90,0.799912453,45400.86315,45400.86375,0 days 00:00:51.998095,512,1024,0.478924589,1,1,COMPLETE
91,91,0.800350249,45400.86375,45400.86423,0 days 00:00:41.716556,128,512,0.436685917,5,1,COMPLETE
92,92,0.814360797,45400.86423,45400.86473,0 days 00:00:43.125511,128,512,0.420211275,2,1,COMPLETE
93,93,0.811295986,45400.86473,45400.86524,0 days 00:00:43.789940,128,512,0.419159041,2,1,COMPLETE
94,94,0.798161149,45400.86524,45400.86571,0 days 00:00:40.934899,128,512,0.179834653,2,1,COMPLETE
95,95,0.806917667,45400.86571,45400.86622,0 days 00:00:44.219075,128,256,0.349651038,2,1,COMPLETE
96,96,0.808669031,45400.86622,45400.86679,0 days 00:00:49.488079,128,512,0.421776989,2,1,COMPLETE
97,97,0.796847641,45400.86679,45400.86746,0 days 00:00:57.361273,128,1024,0.463819576,3,2,COMPLETE
98,98,0.80341506,45400.86746,45400.86796,0 days 00:00:43.546556,128,512,0.277876964,1,1,COMPLETE
99,99,0.806479871,45400.86796,45400.86848,0 days 00:00:44.644751,128,512,0.428649521,2,1,COMPLETE
